date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:34:17	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Jul%202018%2003:34:12%20GMT	http://gaan.com.bd/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/Gaan/gaan.com.bd/fonts/glyphicons-halflings-regular.d.delayed	(from http://gaan.com.bd/css/bootstrap.css)
21:34:18	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Jul%202018%2003:34:12%20GMT	http://gaan.com.bd/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/Gaan/gaan.com.bd/fonts/glyphicons-halflings-regular.ed41d.delayed	(from http://gaan.com.bd/css/bootstrap.css)
21:34:18	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Jul%202018%2003:34:12%20GMT	http://gaan.com.bd/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/Gaan/gaan.com.bd/fonts/glyphicons-halflings-regular.f.delayed	(from http://gaan.com.bd/css/bootstrap.css)
21:34:18	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Jul%202018%2003:34:13%20GMT	http://gaan.com.bd/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/Gaan/gaan.com.bd/fonts/glyphicons-halflings-regular.10.delayed	(from http://gaan.com.bd/css/bootstrap.css)
21:34:19	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Jul%202018%2003:34:13%20GMT	http://gaan.com.bd/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/Gaan/gaan.com.bd/fonts/glyphicons-halflings-regular.11.delayed	(from http://gaan.com.bd/css/bootstrap.css)
21:34:19	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Jul%202018%2003:34:13%20GMT	http://gaan.com.bd/images/pagenate.png	C:/My%20Web%20Sites/Gaan/gaan.com.bd/images/pagenate.12.delayed	(from http://gaan.com.bd/css/bootstrap.css)
21:34:24	70975/70975	---M--	200	added ('OK')	image/png	etag:%220d88534806ad11:0%22	http://gaan.com.bd/images/logo.png	C:/My%20Web%20Sites/Gaan/gaan.com.bd/images/logo.png	(from http://gaan.com.bd/)
21:34:24	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Jul%202018%2003:34:19%20GMT	http://gaan.com.bd/images/img-sprite.png	C:/My%20Web%20Sites/Gaan/gaan.com.bd/images/img-sprite.14.delayed	(from http://gaan.com.bd/css/style.css)
21:34:36	68416/68416	---M--	200	added ('OK')	image/png	etag:%2280ea2b4bd1a6d11:0%22	http://gaan.com.bd/images/get-1.png	C:/My%20Web%20Sites/Gaan/gaan.com.bd/images/get-1.png	(from http://gaan.com.bd/css/style.css)
21:34:48	73905/73905	---M--	200	added ('OK')	image/png	etag:%2204b3256d0a6d11:0%22	http://gaan.com.bd/images/get-2.png	C:/My%20Web%20Sites/Gaan/gaan.com.bd/images/get-2.png	(from http://gaan.com.bd/css/style.css)
21:34:51	197216/197216	---M--	200	added ('OK')	image/jpeg	etag:%2280eaf2bf6045d11:0%22	http://gaan.com.bd/images/banner.jpg	C:/My%20Web%20Sites/Gaan/gaan.com.bd/images/banner.jpg	(from http://gaan.com.bd/css/style.css)
21:34:52	6822/6822	---M--	200	added ('OK')	image/png	etag:%2204bf0f942d11:0%22	http://gaan.com.bd/images/footer.png	C:/My%20Web%20Sites/Gaan/gaan.com.bd/images/footer.png	(from http://gaan.com.bd/css/style.css)
21:34:53	1370/1370	---M--	200	added ('OK')	image/png	etag:%2202ce615942d11:0%22	http://gaan.com.bd/images/up-arrow.png	C:/My%20Web%20Sites/Gaan/gaan.com.bd/images/up-arrow.png	(from http://gaan.com.bd/css/style.css)
21:34:56	55809/55809	---M--	200	added ('OK')	image/jpeg	etag:%2280c27e16942d11:0%22	http://gaan.com.bd/images/talk-banner.jpg	C:/My%20Web%20Sites/Gaan/gaan.com.bd/images/talk-banner.jpg	(from http://gaan.com.bd/css/style.css)
21:35:29	670068/670068	---M--	200	added ('OK')	image/png	etag:%220c45cc942d11:0%22	http://gaan.com.bd/images/a-2.png	C:/My%20Web%20Sites/Gaan/gaan.com.bd/images/a-2.png	(from http://gaan.com.bd/)
21:36:11	1725797/1725797	---M--	200	added ('OK')	image/png	etag:%2280e18810942d11:0%22	http://gaan.com.bd/images/a-1.png	C:/My%20Web%20Sites/Gaan/gaan.com.bd/images/a-1.png	(from http://gaan.com.bd/)
